,Path,Label,loss,pred_true
7597,PetImages/Cat/5586.jpg,Cat,0.5972382,0
1118,PetImages/Dog/11002.jpg,Dog,0.037382938,1
12138,PetImages/Dog/9673.jpg,Dog,0.22681218,1
2828,PetImages/Cat/1293.jpg,Cat,0.07222156,0
4089,PetImages/Cat/2428.jpg,Cat,0.15648742,0
12352,PetImages/Dog/9866.jpg,Dog,0.04102049,1
12384,PetImages/Dog/9895.jpg,Dog,0.046304073,1
1091,PetImages/Dog/1098.jpg,Dog,0.059166793,1
7750,PetImages/Cat/5723.jpg,Cat,0.3072637,0
10377,PetImages/Dog/8088.jpg,Dog,0.04434932,1
1884,PetImages/Cat/11693.jpg,Cat,0.05436343,0
7862,PetImages/Cat/5824.jpg,Cat,1.7829006,1
4687,PetImages/Cat/2967.jpg,Cat,0.13393618,0
5355,PetImages/Cat/3568.jpg,Cat,1.7817361,1
9388,PetImages/Cat/7198.jpg,Cat,0.37542337,0
8512,PetImages/Cat/6409.jpg,Cat,0.13678795,0
863,PetImages/Dog/10774.jpg,Dog,0.9311381,0
9563,PetImages/Cat/7355.jpg,Cat,0.035155643,0
6368,PetImages/Dog/448.jpg,Dog,0.000101203565,1
406,PetImages/Dog/10362.jpg,Dog,0.0049296506,1
4911,PetImages/Dog/3168.jpg,Dog,0.006512608,1
11965,PetImages/Cat/9517.jpg,Cat,0.2607547,0
9295,PetImages/Dog/7113.jpg,Dog,0.07291248,1
5412,PetImages/Cat/3619.jpg,Cat,0.26654193,0
7694,PetImages/Cat/5673.jpg,Cat,0.83794874,1
11294,PetImages/Cat/8913.jpg,Cat,0.59677345,0
6409,PetImages/Dog/4516.jpg,Dog,0.0032076596,1
5055,PetImages/Cat/3298.jpg,Cat,0.08413793,0
7840,PetImages/Dog/5804.jpg,Dog,0.38152647,1
9115,PetImages/Dog/6952.jpg,Dog,0.23602355,1
1743,PetImages/Cat/11566.jpg,Cat,0.07783898,0
11665,PetImages/Dog/9247.jpg,Dog,1.1673834,0
12418,PetImages/Cat/9925.jpg,Cat,0.19621415,0
10785,PetImages/Cat/8455.jpg,Cat,0.07114133,0
4846,PetImages/Dog/3109.jpg,Dog,1.6561847,0
3594,PetImages/Cat/1983.jpg,Cat,0.73961717,1
11544,PetImages/Dog/9138.jpg,Dog,0.0981197,1
1765,PetImages/Dog/11586.jpg,Dog,0.023059426,1
6190,PetImages/Dog/4319.jpg,Dog,0.015202722,1
1570,PetImages/Dog/1141.jpg,Dog,0.12164368,1
7637,PetImages/Dog/5621.jpg,Dog,0.29688936,1
2662,PetImages/Dog/12393.jpg,Dog,3.802704e-05,1
1534,PetImages/Cat/11378.jpg,Cat,0.584766,0
4174,PetImages/Cat/2504.jpg,Cat,0.009547762,0
5303,PetImages/Cat/3520.jpg,Cat,0.5060543,0
8458,PetImages/Dog/6360.jpg,Dog,0.0004338277,1
6861,PetImages/Cat/4923.jpg,Cat,0.3261679,0
5031,PetImages/Dog/3276.jpg,Dog,0.05542967,1
1915,PetImages/Cat/11720.jpg,Cat,2.327201,1
9363,PetImages/Dog/7175.jpg,Dog,0.26858288,1
10737,PetImages/Cat/8411.jpg,Cat,0.35859555,0
10742,PetImages/Dog/8416.jpg,Dog,0.6772829,1
9766,PetImages/Dog/7538.jpg,Dog,0.009265282,1
2026,PetImages/Dog/11820.jpg,Dog,2.1356447,0
7313,PetImages/Dog/533.jpg,Dog,0.08169274,1
766,PetImages/Cat/10687.jpg,Cat,0.20733416,0
713,PetImages/Dog/10639.jpg,Dog,0.31151792,1
7029,PetImages/Cat/5074.jpg,Cat,0.64754426,0
6552,PetImages/Dog/4645.jpg,Dog,0.18974762,1
2577,PetImages/Dog/12316.jpg,Dog,0.025211276,1
3874,PetImages/Cat/2234.jpg,Cat,0.058067527,0
6433,PetImages/Dog/4538.jpg,Dog,0.15465692,1
12036,PetImages/Cat/9581.jpg,Cat,0.40447256,0
6455,PetImages/Dog/4558.jpg,Dog,0.6772462,1
5525,PetImages/Dog/3720.jpg,Dog,0.79114866,0
6065,PetImages/Dog/4206.jpg,Dog,0.06517227,1
12016,PetImages/Cat/9563.jpg,Cat,0.01974569,0
4027,PetImages/Cat/2372.jpg,Cat,0.046648078,0
11008,PetImages/Dog/8656.jpg,Dog,0.64496136,1
1906,PetImages/Dog/11712.jpg,Dog,1.0642419,0
2314,PetImages/Cat/1208.jpg,Cat,0.10922427,0
5981,PetImages/Cat/4130.jpg,Cat,0.6883418,0
3992,PetImages/Dog/2340.jpg,Dog,5.5073175e-05,1
4425,PetImages/Cat/2730.jpg,Cat,1.9499032,1
2140,PetImages/Dog/11923.jpg,Dog,0.54900044,1
9003,PetImages/Dog/6851.jpg,Dog,0.0031041554,1
