,Path,Label,loss,pred_true
11630,PetImages/Cat/9215.jpg,Cat,0.5560229,0
5299,PetImages/Dog/3517.jpg,Dog,0.0038037584,1
11101,PetImages/Dog/874.jpg,Dog,0.018922878,1
1,PetImages/Cat/1.jpg,Cat,0.22546344,0
7772,PetImages/Cat/5743.jpg,Cat,0.44774798,0
1494,PetImages/Dog/11341.jpg,Dog,0.03793491,1
183,PetImages/Dog/10161.jpg,Dog,0.009806552,1
371,PetImages/Dog/10330.jpg,Dog,2.2301054,0
5549,PetImages/Cat/3742.jpg,Cat,0.32893994,0
10354,PetImages/Dog/8067.jpg,Dog,0.026160054,1
12271,PetImages/Cat/9793.jpg,Cat,0.34392366,0
6858,PetImages/Cat/4920.jpg,Cat,0.9785103,1
11206,PetImages/Cat/8834.jpg,Cat,0.10172633,0
11526,PetImages/Cat/9121.jpg,Cat,1.0800564,1
7871,PetImages/Cat/5832.jpg,Cat,2.0739462,1
8819,PetImages/Cat/6686.jpg,Cat,0.3208892,0
7713,PetImages/Dog/5690.jpg,Dog,0.009947017,1
966,PetImages/Cat/10867.jpg,Cat,0.88190794,1
936,PetImages/Dog/1084.jpg,Dog,0.050408125,1
8430,PetImages/Dog/6335.jpg,Dog,0.09582668,1
1520,PetImages/Dog/11365.jpg,Dog,0.10163017,1
1169,PetImages/Cat/11049.jpg,Cat,1.1647487,1
7875,PetImages/Dog/5836.jpg,Dog,0.005568943,1
9786,PetImages/Cat/7556.jpg,Cat,0.43565243,0
1600,PetImages/Cat/11437.jpg,Cat,0.9239641,1
3973,PetImages/Cat/2323.jpg,Cat,0.46392378,0
4223,PetImages/Dog/2549.jpg,Dog,0.011750649,1
5492,PetImages/Cat/3691.jpg,Cat,1.6654159,1
9646,PetImages/Dog/743.jpg,Dog,0.1523436,1
4073,PetImages/Dog/2413.jpg,Dog,0.0057736533,1
6624,PetImages/Cat/471.jpg,Cat,0.76178676,1
10101,PetImages/Dog/784.jpg,Dog,0.010443679,1
2937,PetImages/Cat/1391.jpg,Cat,0.6217171,0
7966,PetImages/Cat/5918.jpg,Cat,1.3272151,1
12121,PetImages/Dog/9658.jpg,Dog,0.13349232,1
12215,PetImages/Cat/9742.jpg,Cat,0.46453828,0
8321,PetImages/Dog/6237.jpg,Dog,0.12792033,1
1934,PetImages/Dog/11738.jpg,Dog,0.004675053,1
2723,PetImages/Dog/12448.jpg,Dog,0.04975332,1
9862,PetImages/Dog/7624.jpg,Dog,0.041854024,1
11656,PetImages/Dog/9239.jpg,Dog,0.0021705895,1
8795,PetImages/Dog/6664.jpg,Dog,0.19205135,1
12168,PetImages/Cat/970.jpg,Cat,0.6125789,0
5751,PetImages/Cat/3924.jpg,Cat,0.57209396,0
7362,PetImages/Cat/5374.jpg,Cat,0.0896515,0
9422,PetImages/Dog/7228.jpg,Dog,0.14721884,1
10758,PetImages/Cat/8430.jpg,Cat,0.25408766,0
4999,PetImages/Dog/3247.jpg,Dog,0.09897815,1
5173,PetImages/Cat/3403.jpg,Cat,0.50721467,0
2886,PetImages/Dog/1345.jpg,Dog,1.1884706,0
6714,PetImages/Cat/4791.jpg,Cat,0.67189723,0
8183,PetImages/Dog/6112.jpg,Dog,0.21500659,1
6675,PetImages/Dog/4756.jpg,Dog,0.14748015,1
10806,PetImages/Dog/8474.jpg,Dog,0.0028726286,1
7963,PetImages/Dog/5915.jpg,Dog,1.5153737,0
6081,PetImages/Cat/4220.jpg,Cat,0.0063042585,0
12007,PetImages/Dog/9555.jpg,Dog,0.06645797,1
8890,PetImages/Cat/675.jpg,Cat,0.0928946,0
10070,PetImages/Dog/7811.jpg,Dog,0.0051776604,1
