,Path,Label,loss,pred_true,Prediction
8090,PetImages/Dog/6029.jpg,Dog,0.40654138,1,Dog
1473,PetImages/Dog/11322.jpg,Dog,0.40609297,1,Dog
7058,PetImages/Dog/510.jpg,Dog,0.405828,1,Dog
8009,PetImages/Dog/5957.jpg,Dog,0.40573466,1,Dog
10508,PetImages/Dog/8205.jpg,Dog,0.40556318,1,Dog
12093,PetImages/Dog/9632.jpg,Dog,0.40543792,1,Dog
3247,PetImages/Dog/1670.jpg,Dog,0.40526283,1,Dog
6508,PetImages/Dog/4605.jpg,Dog,0.4050218,0,Cat
4977,PetImages/Dog/3227.jpg,Dog,0.404988,1,Dog
8957,PetImages/Dog/681.jpg,Dog,0.4044342,1,Dog
6780,PetImages/Dog/4850.jpg,Dog,0.40385792,0,Cat
6300,PetImages/Dog/4418.jpg,Dog,0.403646,1,Dog
11450,PetImages/Dog/9053.jpg,Dog,0.40360308,0,Cat
2877,PetImages/Dog/1337.jpg,Dog,0.40333965,0,Cat
2658,PetImages/Dog/1239.jpg,Dog,0.40271348,0,Cat
10656,PetImages/Dog/8339.jpg,Dog,0.4026894,1,Dog
7722,PetImages/Dog/5699.jpg,Dog,0.4026757,1,Dog
2328,PetImages/Dog/12092.jpg,Dog,0.4026643,1,Dog
9687,PetImages/Dog/7467.jpg,Dog,0.40261984,0,Cat
4004,PetImages/Dog/2351.jpg,Dog,0.4024023,1,Dog
12361,PetImages/Dog/9874.jpg,Dog,0.40239927,1,Dog
5975,PetImages/Dog/4125.jpg,Dog,0.40224525,1,Dog
3164,PetImages/Dog/1596.jpg,Dog,0.4021703,1,Dog
7776,PetImages/Dog/5747.jpg,Dog,0.4020389,1,Dog
9252,PetImages/Dog/7075.jpg,Dog,0.40195116,1,Dog
2242,PetImages/Dog/12014.jpg,Dog,0.4018853,1,Dog
9271,PetImages/Dog/7092.jpg,Dog,0.40132827,0,Cat
10182,PetImages/Dog/7912.jpg,Dog,0.4012696,1,Dog
1226,PetImages/Dog/1110.jpg,Dog,0.40123203,0,Cat
8059,PetImages/Dog/6000.jpg,Dog,0.4011938,1,Dog
3961,PetImages/Dog/2312.jpg,Dog,0.40101993,0,Cat
3982,PetImages/Dog/2331.jpg,Dog,0.40094635,0,Cat
827,PetImages/Dog/10741.jpg,Dog,0.4009106,0,Cat
12163,PetImages/Dog/9696.jpg,Dog,0.40058208,0,Cat
8383,PetImages/Dog/6293.jpg,Dog,0.40057513,1,Dog
3776,PetImages/Dog/2146.jpg,Dog,0.40038344,1,Dog
1466,PetImages/Dog/11316.jpg,Dog,0.4002184,1,Dog
3319,PetImages/Dog/1735.jpg,Dog,0.40010136,1,Dog
359,PetImages/Dog/1032.jpg,Dog,0.3999871,0,Cat
6289,PetImages/Dog/4408.jpg,Dog,0.3999593,1,Dog
4838,PetImages/Dog/3101.jpg,Dog,0.39935786,0,Cat
11599,PetImages/Dog/9188.jpg,Dog,0.39933777,0,Cat
2836,PetImages/Dog/130.jpg,Dog,0.39925548,1,Dog
9935,PetImages/Dog/7690.jpg,Dog,0.39895797,0,Cat
11279,PetImages/Dog/890.jpg,Dog,0.39877245,1,Dog
